id,name,stargazerCount,createdAt,updatedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,399615,2014-12-24T17:49:19Z,2024-08-25T03:28:05Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,332106,2013-10-11T06:50:37Z,2024-08-25T03:16:58Z,
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,320728,2014-07-11T13:42:37Z,2024-08-25T03:25:39Z,
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,310640,2016-03-20T23:49:42Z,2024-08-25T03:25:40Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,302977,2016-06-06T02:34:12Z,2024-08-25T03:22:03Z,
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,296470,2018-05-09T12:03:18Z,2024-08-25T03:21:37Z,
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,288666,2017-03-15T13:45:52Z,2024-08-25T03:31:57Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,269620,2019-03-26T07:31:14Z,2024-08-24T19:12:55Z,
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,267846,2017-02-26T16:15:28Z,2024-08-25T03:21:46Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,226630,2013-05-24T16:15:54Z,2024-08-25T02:44:45Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,216621,2014-06-27T21:00:06Z,2024-08-25T03:20:56Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,207600,2013-07-29T03:24:51Z,2024-08-25T02:00:21Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,193459,2017-04-12T05:07:46Z,2024-08-25T03:41:40Z,
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted,191978,2015-06-01T02:33:17Z,2024-08-25T03:20:42Z,
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,186413,2018-03-24T07:47:04Z,2024-08-25T02:24:36Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,184853,2015-11-07T01:19:20Z,2024-08-25T03:36:17Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,183528,2016-07-16T09:44:01Z,2024-08-25T02:11:28Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,You-Dont-Know-JS,178682,2013-11-16T02:37:24Z,2024-08-25T03:04:14Z,
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,linux,176821,2011-09-04T22:48:12Z,2024-08-25T03:32:05Z,{'name': 'C'}
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CS-Notes,174388,2018-02-13T14:56:24Z,2024-08-25T02:56:15Z,
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,171934,2009-08-28T18:15:37Z,2024-08-25T03:26:23Z,{'name': 'Shell'}
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,bootstrap,169848,2011-07-29T21:19:00Z,2024-08-24T22:23:50Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,computer-science,167644,2014-05-04T00:18:39Z,2024-08-25T03:23:21Z,
R_kgDOJKSTjA,AutoGPT,166009,2023-03-16T09:21:07Z,2024-08-25T03:37:43Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,flutter,164204,2015-03-06T22:54:58Z,2024-08-25T02:54:22Z,{'name': 'Dart'}
MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,vscode,161795,2015-09-03T20:23:38Z,2024-08-25T02:12:22Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMDYyODk3,gitignore,160629,2010-11-08T20:17:14Z,2024-08-25T02:58:58Z,
MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=,Python-100-Days,154098,2018-03-01T16:05:52Z,2024-08-25T03:22:40Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,the-art-of-command-line,151875,2015-05-20T15:11:03Z,2024-08-25T03:21:47Z,
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,JavaGuide,145541,2018-05-07T13:27:00Z,2024-08-24T19:12:56Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,144380,2012-11-01T23:13:50Z,2024-08-25T02:09:32Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,the-book-of-secret-knowledge,141560,2018-06-23T10:43:14Z,2024-08-25T03:20:45Z,
R_kgDOH3JoLw,stable-diffusion-webui,138448,2022-08-22T14:05:26Z,2024-08-25T03:21:47Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,transformers,131089,2018-10-29T13:56:00Z,2024-08-25T03:08:08Z,{'name': 'Python'}
