id,name,stargazerCount,createdAt,updatedAt,releases,primaryLanguage,pullRequests,issues
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,399981,2014-12-24T17:49:19Z,2024-08-31T05:45:43Z,{'totalCount': 0},{'name': 'TypeScript'},{'totalCount': 22882},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,332602,2013-10-11T06:50:37Z,2024-08-31T05:37:38Z,{'totalCount': 0},,{'totalCount': 6488},{'edges': []}
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,321675,2014-07-11T13:42:37Z,2024-08-31T05:46:20Z,{'totalCount': 0},,{'totalCount': 651},{'edges': []}
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,311249,2016-03-20T23:49:42Z,2024-08-31T05:43:57Z,{'totalCount': 0},{'name': 'Python'},{'totalCount': 1872},{'edges': []}
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,303335,2016-06-06T02:34:12Z,2024-08-31T05:16:05Z,{'totalCount': 0},,{'totalCount': 412},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,297459,2018-05-09T12:03:18Z,2024-08-31T05:49:36Z,{'totalCount': 0},,{'totalCount': 139},{'edges': []}
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,289667,2017-03-15T13:45:52Z,2024-08-31T05:42:27Z,{'totalCount': 1},{'name': 'TypeScript'},{'totalCount': 2673},{'edges': []}
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,269644,2019-03-26T07:31:14Z,2024-08-30T19:08:43Z,{'totalCount': 0},,{'totalCount': 1066},{'edges': []}
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,268392,2017-02-26T16:15:28Z,2024-08-31T05:44:44Z,{'totalCount': 0},{'name': 'Python'},{'totalCount': 198},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,226849,2013-05-24T16:15:54Z,2024-08-31T04:15:11Z,{'totalCount': 101},{'name': 'JavaScript'},{'totalCount': 10725},{'edges': []}
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,217218,2014-06-27T21:00:06Z,2024-08-31T05:28:47Z,{'totalCount': 0},{'name': 'Python'},{'totalCount': 543},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,207631,2013-07-29T03:24:51Z,2024-08-31T05:30:37Z,{'totalCount': 249},{'name': 'TypeScript'},{'totalCount': 1135},{'edges': []}
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,194551,2017-04-12T05:07:46Z,2024-08-31T05:52:18Z,{'totalCount': 0},,{'totalCount': 182},{'edges': []}
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted,192718,2015-06-01T02:33:17Z,2024-08-31T05:53:13Z,{'totalCount': 1},,{'totalCount': 2392},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,javascript-algorithms,186522,2018-03-24T07:47:04Z,2024-08-31T05:20:54Z,{'totalCount': 0},{'name': 'JavaScript'},{'totalCount': 299},{'edges': []}
MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,tensorflow,185013,2015-11-07T01:19:20Z,2024-08-31T05:28:19Z,{'totalCount': 208},{'name': 'C++'},{'totalCount': 22717},{'edges': []}
MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,Python,183728,2016-07-16T09:44:01Z,2024-08-31T05:50:29Z,{'totalCount': 0},{'name': 'Python'},{'totalCount': 2799},{'edges': []}
MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,You-Dont-Know-JS,178746,2013-11-16T02:37:24Z,2024-08-31T04:56:45Z,{'totalCount': 0},,{'totalCount': 367},{'edges': []}
MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,linux,177201,2011-09-04T22:48:12Z,2024-08-31T05:36:29Z,{'totalCount': 0},{'name': 'C'},{'totalCount': 10},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,CS-Notes,174456,2018-02-13T14:56:24Z,2024-08-31T04:56:46Z,{'totalCount': 0},,{'totalCount': 374},{'edges': []}
MDEwOlJlcG9zaXRvcnkyOTExMzc=,ohmyzsh,172088,2009-08-28T18:15:37Z,2024-08-31T05:21:22Z,{'totalCount': 0},{'name': 'Shell'},{'totalCount': 3193},{'edges': []}
MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,bootstrap,169884,2011-07-29T21:19:00Z,2024-08-31T05:37:04Z,{'totalCount': 89},{'name': 'JavaScript'},{'totalCount': 8782},{'edges': []}
MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,computer-science,167876,2014-05-04T00:18:39Z,2024-08-31T05:38:27Z,{'totalCount': 0},,{'totalCount': 267},{'edges': []}
R_kgDOJKSTjA,AutoGPT,166153,2023-03-16T09:21:07Z,2024-08-31T05:32:38Z,{'totalCount': 21},{'name': 'Python'},{'totalCount': 1887},{'edges': []}
